"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Parameter Value[Guard column]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Parameter Value[Data file checksum]"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"22"	"22"	"22"	""	""	"M11072710"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"22"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072710.mzml"	"Metabolite identification"	""	""
"23"	"23"	"23"	""	""	"M11062505"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"23"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062505.mzml"	"Metabolite identification"	""	""
"24"	"24"	"24"	""	""	"M11051205"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"24"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051205.mzml"	"Metabolite identification"	""	""
"25"	"25"	"25"	""	""	"M11081308"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"25"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081308.mzml"	"Metabolite identification"	""	""
"26"	"26"	"26"	""	""	"M11061602"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"26"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061602.mzml"	"Metabolite identification"	""	""
"27"	"27"	"27"	""	""	"M11081710"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"27"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081710.mzml"	"Metabolite identification"	""	""
"28"	"28"	"28"	""	""	"M11082018"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"28"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082018.mzml"	"Metabolite identification"	""	""
"29"	"29"	"29"	""	""	"M11051204"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"29"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051204.mzml"	"Metabolite identification"	""	""
"30"	"30"	"30"	""	""	"M11060113"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"30"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060113.mzml"	"Metabolite identification"	""	""
"31"	"31"	"31"	""	""	"M11050508"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"31"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050508.mzml"	"Metabolite identification"	""	""
"32"	"32"	"32"	""	""	"M11073007"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"32"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073007.mzml"	"Metabolite identification"	""	""
"33"	"33"	"33"	""	""	"M11060921"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"33"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060921.mzml"	"Metabolite identification"	""	""
"34"	"34"	"34"	""	""	"M11062906"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"34"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062906.mzml"	"Metabolite identification"	""	""
"35"	"35"	"35"	""	""	"M11072314"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"35"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072314.mzml"	"Metabolite identification"	""	""
"36"	"36"	"36"	""	""	"M11070602"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"36"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11070602.mzml"	"Metabolite identification"	""	""
"37"	"37"	"37"	""	""	"M11082014"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"37"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082014.mzml"	"Metabolite identification"	""	""
"38"	"38"	"38"	""	""	"M11072701"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"38"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072701.mzml"	"Metabolite identification"	""	""
"39"	"39"	"39"	""	""	"M11052502"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"39"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11052502.mzml"	"Metabolite identification"	""	""
"40"	"40"	"40"	""	""	"M11062912"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"40"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062912.mzml"	"Metabolite identification"	""	""
"41"	"41"	"41"	""	""	"M11051804"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"41"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051804.mzml"	"Metabolite identification"	""	""
"42"	"42"	"42"	""	""	"M11073016"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"42"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073016.mzml"	"Metabolite identification"	""	""
"43"	"43"	"43"	""	""	"M11060112"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"43"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11060112.mzml"	"Metabolite identification"	""	""
"44"	"44"	"44"	""	""	"M11050407"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"44"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050407.mzml"	"Metabolite identification"	""	""
"45"	"45"	"45"	""	""	"M11081706"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"45"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081706.mzml"	"Metabolite identification"	""	""
"46"	"46"	"46"	""	""	"M11061605"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"46"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061605.mzml"	"Metabolite identification"	""	""
"47"	"47"	"47"	""	""	"M11061508"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"47"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061508.mzml"	"Metabolite identification"	""	""
"48"	"48"	"48"	""	""	"M11051115"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"48"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051115.mzml"	"Metabolite identification"	""	""
"49"	"49"	"49"	""	""	"M11082001"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"49"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082001.mzml"	"Metabolite identification"	""	""
"50"	"50"	"50"	""	""	"M11062520"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"50"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062520.mzml"	"Metabolite identification"	""	""
"51"	"51"	"51"	""	""	"M11051904"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"51"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051904.mzml"	"Metabolite identification"	""	""
"52"	"52"	"52"	""	""	"M11073017"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"52"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11073017.mzml"	"Metabolite identification"	""	""
"53"	"53"	"53"	""	""	"M11061606"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"53"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061606.mzml"	"Metabolite identification"	""	""
"54"	"54"	"54"	""	""	"M11050413"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"54"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050413.mzml"	"Metabolite identification"	""	""
"55"	"55"	"55"	""	""	"M11051805"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"55"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051805.mzml"	"Metabolite identification"	""	""
"56"	"56"	"56"	""	""	"M11082401"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"56"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082401.mzml"	"Metabolite identification"	""	""
"57"	"57"	"57"	""	""	"M11081301"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"57"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081301.mzml"	"Metabolite identification"	""	""
"58"	"58"	"58"	""	""	"M11061510"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"58"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061510.mzml"	"Metabolite identification"	""	""
"59"	"59"	"59"	""	""	"M11071307"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"59"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11071307.mzml"	"Metabolite identification"	""	""
"60"	"60"	"60"	""	""	"M11051902"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"60"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051902.mzml"	"Metabolite identification"	""	""
"61"	"61"	"61"	""	""	"M11072312"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"61"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072312.mzml"	"Metabolite identification"	""	""
"62"	"62"	"62"	""	""	"M11081306"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"62"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081306.mzml"	"Metabolite identification"	""	""
"63"	"63"	"63"	""	""	"M11062514"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"63"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062514.mzml"	"Metabolite identification"	""	""
"64"	"64"	"64"	""	""	"M11050515"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"64"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050515.mzml"	"Metabolite identification"	""	""
"65"	"65"	"65"	""	""	"M11062515"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"65"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062515.mzml"	"Metabolite identification"	""	""
"66"	"66"	"66"	""	""	"M11062907"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"66"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062907.mzml"	"Metabolite identification"	""	""
"67"	"67"	"67"	""	""	"M11050406"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"67"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050406.mzml"	"Metabolite identification"	""	""
"68"	"68"	"68"	""	""	"M11051107"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"68"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11051107.mzml"	"Metabolite identification"	""	""
"69"	"69"	"69"	""	""	"M11082005"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"69"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11082005.mzml"	"Metabolite identification"	""	""
"70"	"70"	"70"	""	""	"M11081303"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"70"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081303.mzml"	"Metabolite identification"	""	""
"71"	"71"	"71"	""	""	"M11062511"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"71"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11062511.mzml"	"Metabolite identification"	""	""
"72"	"72"	"72"	""	""	"M11061506"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"72"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11061506.mzml"	"Metabolite identification"	""	""
"73"	"73"	"73"	""	""	"M11081701"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"73"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11081701.mzml"	"Metabolite identification"	""	""
"74"	"74"	"74"	""	""	"M11072009"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"74"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11072009.mzml"	"Metabolite identification"	""	""
"75"	"75"	"75"	""	""	"M11050512"	"Extraction"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Mass spectrometry"	"positive"	""	""	""	""	""	""	""	""	""	""	""	""	""	"75"	""	"Data transformation"	""	""	""	""	""	""	""	""	""	""	""	"FILES/m11050512.mzml"	"Metabolite identification"	""	""
